34
6
17,17,0
0	-1	0	0	0	-1	0
0.77	0	0	0	0	-1	0
5.197382409	0	0	0	0	0	-1
0	1.455267075	1	0	0	0	0
0	1.455267075	0	1	0	0	0
0	1.455267075	0	0	1	0	0
0	-1	0.77	0.25	-0.27	0	-14.25
0	-1	-0.77	-0.25	0.27	0	14.25
0	-1	-0.46	-0.5	-0.54	0	46.5
0	-1	0.46	0.5	0.54	0	-46.5
0	-1	-0.23	0.24	0.72	0	-30.75
0	-1	0.23	-0.24	-0.72	0	30.75
0	-0.8	0.77	0.25	-0.27	0	-33.25
0	-0.8	-0.77	-0.25	0.27	0	33.25
0	-0.8	-0.46	-0.5	-0.54	0	108.5
0	-0.8	0.46	0.5	0.54	0	-108.5
0	-0.8	-0.23	0.24	0.72	0	-71.75
0	-0.8	0.23	-0.24	-0.72	0	71.75
0.33	0	0	0	0	-1	0
3.638167686	0	0	0	0	0	-1
0	0	1	0	0	0	0
0	0	0	1	0	0	0
0	0	0	0	1	0	0
0	-1	0.77	0.25	-0.27	-1500	-14.25
0	-1	-0.77	-0.25	0.27	-1500	14.25
0	-1	-0.46	-0.5	-0.54	-1500	46.5
0	-1	0.46	0.5	0.54	-1500	-46.5
0	-1	-0.23	0.24	0.72	-1500	-30.75
0	-1	0.23	-0.24	-0.72	-1500	30.75
0	-0.8	0.77	0.25	-0.27	-1200	-33.25
0	-0.8	-0.77	-0.25	0.27	-1200	33.25
0	-0.8	-0.46	-0.5	-0.54	-1200	108.5
0	-0.8	0.46	0.5	0.54	-1200	-108.5
0	-0.8	-0.23	0.24	0.72	-1200	-71.75
0	-0.8	0.23	-0.24	-0.72	-1200	71.75
